File,z_observed,z_model,delta_z,Distance_Mpc,Tau_s,Age_ΛCDM_Gyr,Age_Model_Gyr
jw01287001001_11101_00002_nrs1_x1d.fits,39.54980058419077,39.49980058419077,0.05,483553.9007935045,2.486819051868696e+18,0.06592739632756645,0.06605066231264878
jw01287001001_11101_00002_nrs2_s2d.fits,38.384419980802036,38.33441998080204,0.05,468221.0628068315,2.4079653944751693e+18,0.06890284988747213,0.06903546426255935
jw01287001003_15101_00003_nrs2_x1d.fits,36.134140729904175,36.08414072990418,0.05,438675.983597748,2.2560210802104095e+18,0.07531862308781745,0.07547231066511802
jw01287001003_13101_00001_nrs1_x1d.fits,42.42380715043921,42.37380715043921,0.05,521453.11767420813,2.6817269916768067e+18,0.05943295890242207,0.05953677998493573
jw01287001003_13101_00002_nrs2_s2d.fits,30.015743550501373,29.965743550501372,0.049999999999999996,358813.8252481141,1.8453062941621115e+18,0.09888167624862297,0.09912300389567637
jw01287001001_11101_00001_nrs1_x1d.fits,41.725456388373125,41.67545638837313,0.05,512233.2250922407,2.6343109652702474e+18,0.06091067139101252,0.06101879959921965
jw01287001001_17101_00003_nrs2_x1d.fits,42.3024254284407,42.2524254284407,0.05,519850.107618502,2.6734830380238106e+18,0.05968551927173839,0.059790071548387225
jw01287001003_17101_00002_nrs1_x1d.fits,42.54529082775116,42.49529082775116,0.05,523057.67545682576,2.6899789049735245e+18,0.05918195144852669,0.05928504786128041
jw01287001001_15101_00001_nrs2_s2d.fits,40.909911914875636,40.85991191487564,0.05,501474.7416402249,2.578982279939029e+18,0.06271482718727439,0.06282830821265002
jw01287001001_13101_00003_nrs1_s2d.fits,41.78746090437237,41.73746090437237,0.05,513051.55890674726,2.638519489112913e+18,0.06077702224510907,0.06088475803492767
jw01287001001_15101_00002_nrs1_x1d.fits,39.54979666283256,39.499796662832566,0.05,483553.8491653457,2.486818786355609e+18,0.06592740598003838,0.06605067199500403
jw01287001003_11101_00003_nrs1_s2d.fits,41.374236019034136,41.32423601903414,0.05,507598.8469999349,2.610477304297609e+18,0.06167698102269544,0.061787370221895406
jw01287001003_17101_00001_nrs2_s2d.fits,42.58336721595965,42.53336721595965,0.05,523560.63013222563,2.6925654982508375e+18,0.05910363940336179,0.05920651014006213
jw01287001001_11101_00003_nrs2_x1d.fits,39.66876282817439,39.61876282817439,0.05000000000000001,485120.25120429345,2.4948744724475817e+18,0.06563564179575294,0.0657580058514295
jw01287001001_17101_00001_nrs1_x1d.fits,42.52392334687082,42.473923346870826,0.05,522775.43897232786,2.688527420318701e+18,0.05922597334782736,0.059329196707420595
jw01287001003_15101_00002_nrs2_s2d.fits,41.4558434047197,41.405843404719704,0.05,508675.5073645854,2.6160143488810803e+18,0.06149750895097424,0.061607366946693234
jw01287001003_15101_00001_nrs1_x1d.fits,38.03277610477648,37.982776104776484,0.05,463598.6838097801,2.384193442401239e+18,0.069844551371669,0.06998018097658205
jw01287001003_13101_00003_nrs2_x1d.fits,32.657550811767585,32.60755081176759,0.05,393205.4982691704,2.0221756515472028e+18,0.08739048652876343,0.08758711162912693
jw01287001001_17101_00002_nrs2_s2d.fits,38.86287273858723,38.81287273858723,0.05,474513.4888047931,2.440326057533675e+18,0.0676548830559312,0.06778354335144057
jw01287001003_11101_00001_nrs2_s2d.fits,40.03392754730425,39.983927547304255,0.05000000000000001,489929.6249836755,2.519608100534334e+18,0.06475328941437175,0.06487294187162174
jw01287001003_17101_00003_nrs1_s2d.fits,42.36291237881309,42.312912378813095,0.05,520648.8945502099,2.6775910362364093e+18,0.05955944193217702,0.0596636289432838
jw01287001001_13101_00002_nrs1_x1d.fits,40.201506790361904,40.15150679036191,0.05,492137.37976748357,2.530962132937379e+18,0.0643549149116327,0.06447335105779077
jw01287001001_15101_00003_nrs1_s2d.fits,42.46308739561783,42.413087395617836,0.05,521971.9096104899,2.684395032755545e+18,0.05935160640950794,0.05945519240209815
