File,z_observed,z_model,delta_z,Distance_Mpc,Tau_s,Age_ΛCDM_Gyr,Age_Model_Gyr
jw01287001001_15101_00002_nrs1_x1d.fits,39.54979666283256,39.499796662832566,0.05,483553.8491653457,2.486818786355609e+18,0.06592740598003838,0.06605067199500403
jw01287001001_11101_00003_nrs2_x1d.fits,39.66876282817439,39.61876282817439,0.05000000000000001,485120.25120429345,2.4948744724475817e+18,0.06563564179575294,0.0657580058514295
jw01287001001_17101_00001_nrs1_x1d.fits,42.52392334687082,42.473923346870826,0.05,522775.43897232786,2.688527420318701e+18,0.05922597334782736,0.059329196707420595
jw01287001003_15101_00001_nrs1_x1d.fits,38.03277610477648,37.982776104776484,0.05,463598.6838097801,2.384193442401239e+18,0.069844551371669,0.06998018097658205
jw01287001003_13101_00003_nrs2_x1d.fits,32.657550811767585,32.60755081176759,0.05,393205.4982691704,2.0221756515472028e+18,0.08739048652876343,0.08758711162912693
jw01287001001_13101_00002_nrs1_x1d.fits,40.201506790361904,40.15150679036191,0.05,492137.37976748357,2.530962132937379e+18,0.0643549149116327,0.06447335105779077
jw01287001003_11101_00002_nrs1_x1d.fits,38.03259964365708,37.98259964365708,0.05,463596.3647138123,2.3841815157638436e+18,0.06984502927346861,0.06998066041543355
jw01287001001_15101_00003_nrs2_x1d.fits,42.24042091244146,42.19042091244146,0.05000000000000001,519031.33184139157,2.6692722412576476e+18,0.059815218641518036,0.05992014720892717
jw01287001001_13101_00001_nrs1_x1d.fits,41.66334207434403,41.61334207434403,0.05,511413.49606929056,2.630095266155222e+18,0.061045045373249396,0.06115356870139882
jw01287001003_11101_00001_nrs1_x1d.fits,40.67475198444566,40.624751984445666,0.05,498374.33003175067,2.5630374956162545e+18,0.06325152423195732,0.06336661745469181
jw01287001003_17101_00003_nrs2_x1d.fits,40.81417979692157,40.764179796921574,0.05000000000000002,500212.487237213,2.5724907630831754e+18,0.06293240055181815,0.06304653405796744
jw01287001001_17101_00002_nrs1_x1d.fits,40.778491515862314,40.728491515862316,0.05,499741.9612575941,2.5700709439718093e+18,0.0630138301626605,0.06312820825157026
jw01287001003_15101_00002_nrs1_x1d.fits,40.92876188378585,40.878761883785856,0.05,501723.2992477914,2.580260561001324e+18,0.06267213290514445,0.06278548606976271
jw01287001003_17101_00002_nrs2_x1d.fits,37.791067506137644,37.74106750613765,0.05,460422.5588667964,2.367859279846938e+18,0.07050427072389968,0.07064202876101089
jw01287001001_15101_00002_nrs2_x1d.fits,41.22982808163292,41.17982808163292,0.05,505693.87933426123,2.6006804442652175e+18,0.061996695915287954,0.062108033939652946
jw01287001003_13101_00001_nrs2_x1d.fits,42.46007971387161,42.41007971387161,0.049999999999999996,521932.18505588843,2.6841907374762644e+18,0.059357829042888395,0.05946143300994767
jw01287001003_15101_00003_nrs1_x1d.fits,42.6061934420937,42.5561934420937,0.05,523862.15338185604,2.694116170803642e+18,0.05905677463871834,0.0591595104170067
jw01287001001_17101_00003_nrs1_x1d.fits,40.2015028690037,40.1515028690037,0.05,492137.32810110523,2.5309618672277366e+18,0.06435492418612539,0.06447336036054248
jw01287001001_11101_00001_nrs2_x1d.fits,40.45743031250803,40.40743031250803,0.05000000000000001,495509.8166574034,2.5483058877810796e+18,0.06375430052802815,0.06387091226926382
jw01287001003_13101_00002_nrs2_x1d.fits,41.64550381585171,41.595503815851714,0.05,511178.0927164669,2.6288846347411963e+18,0.06108372613622684,0.06119236330971194
jw01287001001_11101_00002_nrs2_x1d.fits,39.268035311447946,39.21803531144795,0.05,479844.8140780296,2.4677439756591155e+18,0.06662705143405903,0.06675249108032003
jw01287001003_17101_00001_nrs2_x1d.fits,42.58336721595965,42.53336721595965,0.05,523560.63013222563,2.6925654982508375e+18,0.05910363940336179,0.05920651014006213
jw01287001003_11101_00003_nrs1_x1d.fits,41.1185281715895,41.068528171589506,0.05,504225.86104689725,2.59313072573432e+18,0.062244986205718854,0.06235706331897272
jw01287001001_13101_00003_nrs1_x1d.fits,41.032124964814436,40.98212496481444,0.05000000000000001,503086.34613683,2.587270433048038e+18,0.062438872839208244,0.06255152845236953
jw01287001001_15101_00001_nrs2_x1d.fits,39.999407830991245,39.94940783099125,0.05,489474.9004548773,2.517269545060556e+18,0.06483585771790697,0.0649557628912524
jw01287001001_17101_00002_nrs2_x1d.fits,42.42613251585709,42.376132515857094,0.05,521483.8292394436,2.681884934990706e+18,0.059428137751721136,0.05953194489630002
jw01287001003_15101_00002_nrs2_x1d.fits,41.32888158998991,41.278881589989915,0.05000000000000001,507000.51891718345,2.607400225045405e+18,0.06177710003588186,0.0618877860122892
jw01287001001_13101_00001_nrs2_x1d.fits,39.26803139008974,39.21803139008974,0.05,479844.762466685,2.4677437102325e+18,0.06662706125663571,0.06675250093351941
jw01287001001_15101_00003_nrs1_x1d.fits,41.158306429260655,41.10830642926066,0.05,504750.5061366459,2.595828868387115e+18,0.0621560593791006,0.062267871558620444
jw01287001003_17101_00003_nrs1_x1d.fits,41.49921362651022,41.44921362651022,0.05,509247.73648790136,2.6189572065099013e+18,0.06140247984860621,0.061512056989964835
jw01287001003_11101_00001_nrs2_x1d.fits,42.521774442572344,42.47177444257235,0.05,522747.05509968335,2.688381447852876e+18,0.05923040357964,0.05933363971823121
jw01287001001_13101_00002_nrs2_x1d.fits,42.54945138881081,42.49945138881081,0.05,523112.6317501169,2.690261533977142e+18,0.059173386035771866,0.05927645775551029
jw01287001003_11101_00002_nrs2_x1d.fits,29.388288984173226,29.338288984173225,0.05,350668.05359523365,1.803414252540043e+18,0.10198240736958211,0.10223641694609069
jw01287001001_17101_00001_nrs2_x1d.fits,41.92890429496765,41.878904294967654,0.05000000000000001,514918.52526230493,2.648120916160818e+18,0.06047395360582449,0.06058080163962443
jw01287001001_11101_00003_nrs1_x1d.fits,42.21877109377008,42.16877109377008,0.05,518745.4562693481,2.667802041518063e+18,0.05986061499179075,0.059965675392835864
jw01287001003_13101_00003_nrs1_x1d.fits,41.93348444135565,41.883484441355655,0.05000000000000001,514978.98504685896,2.648431848497118e+18,0.06046418160009076,0.06057100105824764
jw01287001003_15101_00001_nrs2_x1d.fits,41.20030417567805,41.15030417567805,0.05,505304.449105456,2.598677684054252e+18,0.06206239861862968,0.062173932031330426
